SKU,Product Name,Base Color,Cap/Roller Component,Source GIF (Before),Enhanced Result (After),Variations,Updated At
ROLLER-9ML-METAL,"9ml Roll-On Roller: Metal Roller",metal roller,"roller",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/ROLLER-9ML-METAL.png,"",2026-01-02T03:05:33.413832+00:00
CAP-9ML-ShnSl,"9ml Roll-On Cap: Silver Shiny",shiny,"silver shiny",https://www.bestbottles.com/images/store/caps/17-415CpRollShnSl.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/CAP-9ML-ShnSl.png,"",2026-01-02T03:05:13.36365+00:00
CAP-9ML-PnkDot,"9ml Roll-On Cap: Pink Dot",shiny with dots,"pink dot",https://www.bestbottles.com/images/store/caps/17-415CpRollPnkDot.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/CAP-9ML-PnkDot.png,"",2026-01-02T03:04:49.783145+00:00
CAP-9ML-MattSl,"9ml Roll-On Cap: Silver Matte",matte,"silver matte",https://www.bestbottles.com/images/store/caps/17-415CpRollMattSl.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/CAP-9ML-MattSl.png,"",2026-01-02T03:04:30.529865+00:00
CAP-9ML-BlkDot,"9ml Roll-On Cap: Black Dot",shiny with dots,"black dot",https://www.bestbottles.com/images/store/caps/17-415CpRollBlkDot.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/CAP-9ML-BlkDot.png,"",2026-01-02T03:04:12.469788+00:00
GBCylBlu9RollPnkDot,"Cobalt Blue Glass with Plastic Roller Ball and Pink Dot",cobalt blue,"plastic roll with pink dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylBlu9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylBlu9RollPnkDot.png,"",2026-01-02T03:04:05.070647+00:00
GBCylAmb9RollMattSl,"Amber Glass with Plastic Roller Ball and Silver Matte",amber,"plastic roll with silver matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCylAmb9RollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCylAmb9RollMattSl.png,"",2026-01-02T03:03:47.038656+00:00
GBCyl9MtlRollShnGl,"Clear Glass with Metal Roller Ball and Gold Shiny",clear,"metal roll with gold shiny cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCyl9MtlRollShnGl.png,"",2026-01-02T03:03:27.64033+00:00
GBCyl9MtlRollPnkDot,"Clear Glass with Metal Roller Ball and Pink Dot",clear,"metal roll with pink dot cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCyl9MtlRollPnkDot.png,"",2026-01-02T03:03:08.707808+00:00
GBCyl9MtlRollMattSl,"Clear Glass with Metal Roller Ball and Silver Matte",clear,"metal roll with silver matte cap",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl9MtlRollBlkDot.gif,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/enhanced/GBCyl9MtlRollMattSl.png,"",2026-01-02T03:02:50.290944+00:00
