SKU_Name,Description
GBBstnBlu2ozBlkDropperShnGlTrim,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozMtlRollonMattSl,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonShnSl,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonMattBlk,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonGl,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonMattGl,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozRollonMattSl,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonShnSl,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonMattBlk,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonGl,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonMattGl,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozWhtDropper,"Boston rounddesign60ml,2oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozBlkDropperShnSlTrim,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozWhtDropperShnGlTrim,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozWhtDropperShnSlTrim,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozBlkDropperShnGlTrim,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozBlkDrp,"Boston rounddesign60ml,2oz Clear glass bottlewithblack dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozMtlRollonMattSl,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozMtlRollonShnSl,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozMtlRollonMattBlk,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozMtlRollonMattGl,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozRollonMattSl,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozRollonShnSl,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozRollonMattBlk,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozRollonMattGl,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozWhtDropper,"Boston rounddesign30ml,1oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozBlkDropperShnSlTrim,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozWhtDropperShnGlTrim,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozWhtDropperShnSlTrim,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozBlkDropperShnGlTrim,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozMtlRollonMattSl,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozMtlRollonShnSl,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozMtlRollonMattBlk,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozMtlRollonMattGl,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozRollonMattSl,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozRollonShnSl,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozRollonMattBlk,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozRollonMattGl,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozWhtDropper,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozBlkDropperShnSlTrim,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozWhtDropperShnGlTrim,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozWhtDropperShnSlTrim,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozBlkDropperShnGlTrim,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn1ozMtlRollonMattSl,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn1ozMtlRollonShnSl,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
