SKU_Name,Family_Name,Bottle_Shape,Capacity_OZ,Description
GBBstnBlu2ozBlkDropperShnSlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu2ozWhtDropperShnGlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu2ozWhtDropperShnSlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu2ozBlkDropperShnGlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozMtlRollonMattSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonShnSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonMattBlk,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonGl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozMtlRollonMattGl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithmetal roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstn2ozRollonMattSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonShnSl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonMattBlk,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonGl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozRollonMattGl,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstn2ozWhtDropper,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozBlkDropperShnSlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozWhtDropperShnGlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozWhtDropperShnSlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozBlkDropperShnGlTrim,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstn2ozBlkDrp,GBBstn,Boston round,2oz,"Boston rounddesign60ml,2oz Clear glass bottlewithblack dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozMtlRollonMattSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozMtlRollonShnSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozMtlRollonMattBlk,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozMtlRollonMattGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnAmb1ozRollonMattSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozRollonShnSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozRollonMattBlk,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozRollonMattGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnAmb1ozWhtDropper,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottlewithwhite dropper.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozBlkDropperShnSlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozWhtDropperShnGlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozWhtDropperShnSlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnAmb1ozBlkDropperShnGlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Amber glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozMtlRollonMattSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozMtlRollonShnSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozMtlRollonMattBlk,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozMtlRollonMattGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each"
GBBstnBlu1ozRollonMattSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozRollonShnSl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozRollonMattBlk,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozRollonMattGl,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each"
GBBstnBlu1ozWhtDropper,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozBlkDropperShnSlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
GBBstnBlu1ozWhtDropperShnGlTrim,GBBstn,Boston round,1oz,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each"
