SKU_Name,SKU,Price_Tier1,Description,Status
GBBstnBlu2ozRollonMattBlk,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnBlu2ozRollonGl,GBBstnBlu2ozRollonGl,$0.90,"Boston round design 60ml, 2oz Cobalt blue glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. . oils. Refillable bottle with large, 12mm diameter roller ba",Found
GBBstnBlu2ozRollonMattGl,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy oils.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnBlu2ozWhtDropper,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu2ozBlkDropperShnSlTrim,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu2ozWhtDropperShnGlTrim,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu2ozWhtDropperShnSlTrim,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu2ozBlkDropperShnGlTrim,,,"Boston rounddesign60ml,2oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu2ozBlkDropper,GBBstnBlu2ozBlkDropper,$0.71,"Boston round design 2 ounce cobalt blue glass bottle with black dropper, price each",Found
GBBstnBlu2ozBlkCapSht,GBBstnBlu2ozBlkCapSht,$0.48,"Boston round design 60ml, 2oz Cobalt blue glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
