SKU,ProductName,Category,Material,Color,Capacity,Shape,Cap_Color,Cap_Type,Applicator,Full_Description,Target_URL,Training_Context,Source_File
2049,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2049.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2050,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2050.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2051,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2051.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2052,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2052.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2053,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2053.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2054,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2054.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2055,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2055.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2056,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2056.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2057,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2057.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2058,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2058.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2059,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2059.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2060,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2060.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2061,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2061.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2062,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2062.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2063,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2063.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2064,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2064.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2065,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2065.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2066,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2066.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2067,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2067.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2068,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2068.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2069,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2069.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2070,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2070.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2071,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2071.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
2072,Clear Round bottle (Unknown),Bottle,Glass,Clear,Unknown,Round,White,Cap,None,,cylinder-,A Clear Round Glass bottle with a capacity of Unknown. It features a White Cap and no specific applicator. SKU: 2072.,18-415 ITEMCODES - 18-415 ITEMCODES.csv
