SKU,Description,Image_URL,Included_Component,Material,Color,Use_Cases,Tags,Item_Type,Capacity,Height_With_Cap,Height_Without_Cap,Width,Depth,Neck_Finish,Price_1pc,Price_12pc,Price_144pc,Best_Bulk_Price,Min_Order_Qty,Main_Category,Sub_Category,Product_URL
GBHeartFrst4KeyGld,"Heart design 4 ml, Frosted glass bottle with gold key chain. For use with perfume or fragrance oil, essential oil. Great for Valentines, gifts, promotions, and wedding and party favors.",https://www.bestbottles.com/images/store/enlarged_pics/GBHeartFrst4KeyGld.gif,,Frosted glass,Frosted,"essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil","frosted glass, frosted, essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil, decorative perfume bottles with keychain caps, 4ml",Decorative perfume bottles with Keychain Caps,4 ml (0.14 oz),53 ±1 mm,46 ±0.5 mm,32 ±0.5 mm,12 ±0.5 mm,8mm,$2.80,,$2.66,2500pc @ $2.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Frosted-glass-small-heart-shaped-bottle-with-gold-key-chain
GBHeartFrst4TslRed,"Heart design 4 ml, Frosted glass bottle with red tassel. For use with perfume or fragrance oil, essential oil. Great for Valentines, gifts, promotions, and wedding and party favors.",https://www.bestbottles.com/images/store/enlarged_pics/GBHeartFrst4TslRed.gif,,Frosted glass,Frosted,"essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil","frosted glass, frosted, essential oil, fragrance, perfume, perfume or fragrance oil, essential oil, use with perfume or fragrance oil, essential oil, decorative perfume bottles with keychain caps, 4ml",Decorative perfume bottles with Keychain Caps,4 ml (0.14 oz),53 ±1 mm,46 ±0.5 mm,32 ±0.5 mm,12 ±0.5 mm,8mm,$2.66,,$2.52,2500pc @ $2.18,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Frosted-glass-small-heart-shaped-bottle-with-red-tassel
GB3TPlGl,"Octagonal style 3 ml glass bottle with shiny gold cap and red bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB3TPlGl.gif,shiny gold cap,glass,gold,"aromatic oil, attar, fragrance, perfume","glass, gold, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 3ml","Traditional octagonal shaped bottles, plain and printed",3 ml (0.1 oz),53 ±1 mm,42 ±0.5 mm,18 ±0.5 mm,,14.3mm,$0.42,,$0.40,4800pc @ $0.34,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-3-ml-glass-bottle-shiny-gold-cap-red-bead
GB3TPlSl,"Octagonal style 3 ml glass bottle with shiny silver cap and blue bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB3TPlSl.gif,shiny silver cap,glass,silver,"aromatic oil, attar, fragrance, perfume","glass, silver, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 3ml","Traditional octagonal shaped bottles, plain and printed",3 ml (0.1 oz),53 ±1 mm,42 ±0.5 mm,18 ±0.5 mm,,14.3mm,$0.42,,$0.40,4800pc @ $0.34,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-3-ml-glass-bottle-shiny-silver-cap-blue-bead
GB6TPlGl,"Octagonal style 6 ml glass bottle with shiny gold cap and red bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB6TPlGl.gif,shiny gold cap,glass,gold,"aromatic oil, attar, fragrance, perfume","glass, gold, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 6ml","Traditional octagonal shaped bottles, plain and printed",6 ml (0.2 oz),59 ±1 mm,48 ±0.5 mm,,,14.3mm,$0.52,,$0.50,3600pc @ $0.43,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-6-ml-glass-bottle-shiny-gold-cap-red-bead
GB6TPlSl,"Octagonal style 6 ml glass bottle with shiny silver cap and blue bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles.",https://www.bestbottles.com/images/store/enlarged_pics/GB6TPlSl.gif,shiny silver cap,glass,silver,"aromatic oil, attar, fragrance, perfume","glass, silver, aromatic oil, attar, fragrance, perfume, traditional octagonal shaped bottles, plain and printed, 6ml","Traditional octagonal shaped bottles, plain and printed",6 ml (0.2 oz),59 ±1 mm,48 ±0.5 mm,,,14.3mm,$0.52,,$0.50,3600pc @ $0.43,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Octagonal-style-6-ml-glass-bottle-shiny-silver-cap-blue-bead
GBSQSTBlue,Blue glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBSQSTBlue.gif,glass stopper. Cap,glass,Blue,,"glass, blue, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),64 ±1 mm,47 ±0.5 mm,24 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Blue-glass-stopper
GBSQSTClear,Clear glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBSQSTClear.gif,glass stopper. Cap,Clear glass,Clear,,"clear glass, clear, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),64 ±1 mm,47 ±0.5 mm,24 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Clear-glass-stopper
GBSQSTGREEN,Green glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBSQSTGREEN.gif,glass stopper. Cap,glass,Green,,"glass, green, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),64 ±1 mm,47 ±0.5 mm,24 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Green-glass-stopper
GBTrdpBlue,Blue glass teardrop shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBTrdpBlue.gif,glass stopper. Cap,glass,Blue,,"glass, blue, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),68 ±1 mm,43 ±0.5 mm,31 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Teardrop-Blue-glass-stopper
GBTRDPClear,Clear glass teardrop shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBTRDPClear.gif,glass stopper. Cap,Clear glass,Clear,,"clear glass, clear, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),68 ±1 mm,43 ±0.5 mm,31 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Teardrop-Clear-glass-stopper
GBTRDPGreen,Green glass teardrop shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/images/store/enlarged_pics/GBTRDPGreen.gif,glass stopper. Cap,glass,Green,,"glass, green, glass stopper perfume bottles, 9ml",Glass Stopper perfume bottles,9 ml (0.3 oz),68 ±1 mm,43 ±0.5 mm,31 ±0.5 mm Neck Thread Size: Ground glass neck with glass stopper,,Ground glass neck with glass stopper,$3.04,,$2.88,2000pc @ $2.50,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Teardrop-Green-glass-stopper
GBMtlCylGl,Royal cylinder bottle with Crystal Cap with glass applicator.Capacity: Approx 14ml,https://www.bestbottles.com/images/store/enlarged_pics/GBMtlCylGl.gif,Crystal Cap with glass applicator.Cap,glass,,,"glass, perfume bottles with metal & beads decoration, 14ml",Perfume Bottles with Metal & Beads Decoration,14 ml (0.47 oz),92 ±1 mm,64 ±1 mm,32 ±0.5 mm Neck Thread Size: 11mm,,11mm,$6.79,,$6.44,1500pc @ $5.58,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Royal-Cylindrical-decorative-Perfume-bottle-Gold-Metal-decoration-crystal-top-14ml
GBMtlCylSl,Royal cylinder bottle with Crystal Cap with glass applicator.Capacity: Approx 11ml,https://www.bestbottles.com/images/store/enlarged_pics/GBMtlCylSl.gif,Crystal Cap with glass applicator.Cap,glass,,,"glass, perfume bottles with metal & beads decoration, 11ml",Perfume Bottles with Metal & Beads Decoration,11 ml (0.37 oz),92 ±1 mm,64 ±1 mm,32 ±0.5 mm Neck Thread Size: 11mm,,11mm,$6.79,,$6.44,1500pc @ $5.58,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Royal-Cylindrical-decorative-Perfume-bottle-Silver-Metal-decoration-crystal-top-11ml
GBMtlMrblSmall,Marble bottle with Crystal Cap and glass applicator.Capacity: Approx 1/6oz (5ml),https://www.bestbottles.com/images/store/enlarged_pics/GBMtlMrblSmall.gif,Crystal Cap and glass applicator.Cap,glass,,,"glass, perfume bottles with metal & beads decoration, 5ml",Perfume Bottles with Metal & Beads Decoration,5 ml (0.17 oz),87 ±1 mm,66 ±1 mm,26 ±0.5 mm Neck Thread Size: 17.52mm,,17.52mm,$5.70,,$5.40,1000pc @ $4.68,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Small-decorative-Perfume-bottle-marble-decoration-crystal-top
GBMtlMrblLarge,Marble bottle with Crystal Cap with glass applicator.Capacity: Approx 1/3oz (10m,https://www.bestbottles.com/images/store/enlarged_pics/GBMtlMrblLarge.gif,Crystal Cap with glass applicator.Cap,glass,,,"glass, perfume bottles with metal & beads decoration, 10ml",Perfume Bottles with Metal & Beads Decoration,10 ml (0.34 oz),102 ±2 mm,80 ±1 mm,28 ±0.5 mm Neck Thread Size: 17.52mm,,17.52mm,$6.65,,$6.30,1000pc @ $5.46,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Small-decorative-Perfume-bottle-marble-decoration-crystal-top-15ml
GBVAmb1DrmBlkDrpr,"Vial design 1 dram Amber glass vial with black dropper. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb1DrmBlkDropper.gif,,Amber glass,Amber,"essential oil, fragrance, perfume, promotions","amber glass, amber, essential oil, fragrance, perfume, promotions, large selection of dropper bottles, 4ml",Large Selection of Dropper Bottles,4 ml (0.14 oz),63 ±1 mm,45 ±0.5 mm,,,13-425,$0.77,,$0.73,2880pc @ $0.63,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-black-dropper
GBVAmb1DrmBlackCapSht,"Vial design 1 dram Amber glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb1DrmBlackCapSht.gif,black short cap,Amber glass,Amber,"essential oil, fragrance, perfume, promotions","amber glass, amber, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$0.39,,$0.37,2880pc @ $0.32,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-black-short-cap
GBVAmb1DrmBlackCapSht,"Vial design 1 dram Amber glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb1DrmBlackCapSht.gif,black short cap,Amber glass,Amber,"essential oil, fragrance, perfume, promotions","amber glass, amber, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$0.39,,$0.37,2880pc @ $0.32,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-amber-glass-black-short-cap?video=true
GBVBlu1DrmBlkDropper,"Vial design 1 dram Blue glass vial with black dropper. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVBlu1DrmBlkDropper.gif,,glass,Blue,"essential oil, fragrance, perfume, promotions","glass, blue, essential oil, fragrance, perfume, promotions, large selection of dropper bottles, 4ml",Large Selection of Dropper Bottles,4 ml (0.14 oz),63 ±1 mm,45 ±0.5 mm,,,13-425,$1.85,,$1.76,2880pc @ $1.52,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-blue-glass-black-dropper
GBVBlu1DrmBlackCapSht,"Vial design 1 dram Blue glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVBlu1DrmBlackCapSht.gif,black short cap,glass,Blue,"essential oil, fragrance, perfume, promotions","glass, blue, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$1.31,,$1.24,2880pc @ $1.08,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-blue-glass-black-short-cap
GBVBlu1DrmBlackCapSht,"Vial design 1 dram Blue glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVBlu1DrmBlackCapSht.gif,black short cap,glass,Blue,"essential oil, fragrance, perfume, promotions","glass, blue, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$1.31,,$1.24,2880pc @ $1.08,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-blue-glass-black-short-cap?video=true
GBV1DrmBlkDropper,"Vial design 1 dram Clear glass vial with black dropper. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBV1DrmBlkDropper.gif,,Clear glass,Clear,"essential oil, fragrance, perfume, promotions","clear glass, clear, essential oil, fragrance, perfume, promotions, large selection of dropper bottles, 4ml",Large Selection of Dropper Bottles,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$0.77,,$0.73,2880pc @ $0.63,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-dropper
GBV1DrmBlackCapSht,"Vial design 1 dram Clear glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVial1DrmBlackCapSht.gif,black short cap,Clear glass,Clear,"essential oil, fragrance, perfume, promotions","clear glass, clear, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$0.37,,$0.35,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-short-cap
GBV1DrmBlackCapSht,"Vial design 1 dram Clear glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVial1DrmBlackCapSht.gif,black short cap,Clear glass,Clear,"essential oil, fragrance, perfume, promotions","clear glass, clear, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$0.37,,$0.35,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-clear-glass-black-short-cap?video=true
GBVGr1DrmBlkDropper,"Vial design 1 dram Green glass vial with black dropper. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVGr1DrmBlkDropper.gif,,glass,Green,"essential oil, fragrance, perfume, promotions","glass, green, essential oil, fragrance, perfume, promotions, large selection of dropper bottles, 4ml",Large Selection of Dropper Bottles,4 ml (0.14 oz),63 ±1 mm,45 ±0.5 mm,,,13-425,$1.85,,$1.76,2880pc @ $1.52,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-green-glass-black-dropper
GBVGr1DrmBlackCapSht,"Vial design 1 dram Green glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVGr1DrmBlackCapSht.gif,black short cap,glass,Green,"essential oil, fragrance, perfume, promotions","glass, green, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 4ml",Perfume vials and tubes With Caps & Droppers,4 ml (0.14 oz),47 ±0.5 mm,45 ±0.5 mm,,,13-425,$1.31,,$1.24,2880pc @ $1.08,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-dram-green-glass-black-short-cap
GBVialAmb1o5WhtCapSht,"Vial design 1.5ml, Amber glass vial with white short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb1o5WhtCapSht.gif,white short cap,Amber glass,Amber,"essential oil, fragrance, perfume, promotions","amber glass, amber, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 2ml",Perfume vials and tubes With Caps & Droppers,2 ml (0.07 oz),24 ±0.5 mm,22 ±0.5 mm,,,13-425,$0.36,,$0.34,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-o-5-ml-amber-glass-white-short-cap
GBVialAmb1o5WhtCapSht,"Vial design 1.5ml, Amber glass vial with white short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb1o5WhtCapSht.gif,white short cap,Amber glass,Amber,"essential oil, fragrance, perfume, promotions","amber glass, amber, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 2ml",Perfume vials and tubes With Caps & Droppers,2 ml (0.07 oz),24 ±0.5 mm,22 ±0.5 mm,,,13-425,$0.36,,$0.34,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-1-o-5-ml-amber-glass-white-short-cap?video=true
GBVAmb2BlackCap,"Vial design 2 ml Amber glass vial with short black cap. For use with perfume or fragrance oil, essential oil, and aromatherapy. Small or mini size vials for promotions, sample or travel accessory.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb2BlackCap.gif,short black cap,Amber glass,Amber,"essential oil, fragrance, perfume, promotions, sample or travel accessory","amber glass, amber, essential oil, fragrance, perfume, promotions, sample or travel accessory, perfume vials and tubes with caps & droppers, 2ml",Perfume vials and tubes With Caps & Droppers,2 ml (0.07 oz),37 ±0.5 mm,35 ±0.5 mm,,,8-425,$0.36,,$0.34,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-2-ml-amber-glass-short-black-cap
GBVAmb2BlackCap,"Vial design 2 ml Amber glass vial with short black cap. For use with perfume or fragrance oil, essential oil, and aromatherapy. Small or mini size vials for promotions, sample or travel accessory.",https://www.bestbottles.com/images/store/enlarged_pics/GBVAmb2BlackCap.gif,short black cap,Amber glass,Amber,"essential oil, fragrance, perfume, promotions, sample or travel accessory","amber glass, amber, essential oil, fragrance, perfume, promotions, sample or travel accessory, perfume vials and tubes with caps & droppers, 2ml",Perfume vials and tubes With Caps & Droppers,2 ml (0.07 oz),37 ±0.5 mm,35 ±0.5 mm,,,8-425,$0.36,,$0.34,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-2-ml-amber-glass-short-black-cap?video=true
GBVialClr2mlBlackCap,Vial design 2 ml clear glass vial with short black cap.,https://www.bestbottles.com/images/store/enlarged_pics/GBVClr2mlBlackCap.gif,short black cap,clear glass,clear,,"clear glass, clear, perfume vials and tubes with caps & droppers, 2ml",Perfume vials and tubes With Caps & Droppers,2 ml (0.07 oz),37 ±0.5 mm,35 ±0.5 mm,,,8-425,$0.36,,$0.34,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-2-ml-clear-glass-vial-short-black-cap
GBVialClr2mlBlackCap,Vial design 2 ml clear glass vial with short black cap.,https://www.bestbottles.com/images/store/enlarged_pics/GBVClr2mlBlackCap.gif,short black cap,clear glass,clear,,"clear glass, clear, perfume vials and tubes with caps & droppers, 2ml",Perfume vials and tubes With Caps & Droppers,2 ml (0.07 oz),37 ±0.5 mm,35 ±0.5 mm,,,8-425,$0.36,,$0.34,2880pc @ $0.30,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-2-ml-clear-glass-vial-short-black-cap?video=true
GBVGreen2o4BlackCapSht,"Vial design 5/8 dram Green glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVGreen2o4BlackCapSht.gif,black short cap,glass,Green,"essential oil, fragrance, perfume, promotions","glass, green, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 3ml",Perfume vials and tubes With Caps & Droppers,3 ml (0.1 oz),32 ±0.5 mm,29 ±0.5 mm,,,13-425,$1.03,,$0.97,2880pc @ $0.84,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-5-8-dram-green-glass-black-short-cap
GBVGreen2o4BlackCapSht,"Vial design 5/8 dram Green glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions.",https://www.bestbottles.com/images/store/enlarged_pics/GBVGreen2o4BlackCapSht.gif,black short cap,glass,Green,"essential oil, fragrance, perfume, promotions","glass, green, essential oil, fragrance, perfume, promotions, perfume vials and tubes with caps & droppers, 3ml",Perfume vials and tubes With Caps & Droppers,3 ml (0.1 oz),32 ±0.5 mm,29 ±0.5 mm,,,13-425,$1.03,,$0.97,2880pc @ $0.84,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-5-8-dram-green-glass-black-short-cap?video=true
GB09BlackCapApp,"Cylinder design 9 ml clear glass vial with black cap with glass rod applicator. For use with perfume or fragrance oil, essential oil, aromatherapy. Small sample or trial size vial.",https://www.bestbottles.com/images/store/enlarged_pics/GB09BlackCapApp.gif,black cap,clear glass,clear,"essential oil, fragrance, perfume","clear glass, clear, essential oil, fragrance, perfume, perfume vials and tubes with caps & droppers, 9ml",Perfume vials and tubes With Caps & Droppers,9 ml (0.3 oz),50 ±0.5 mm,,,,18-400,$0.44,,$0.41,8400pc @ $0.36,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-9-ml-clear-glass-black-cap-with-glass-rod-applicator
GB09BlackCapSht,"Cylinder design 9 ml clear glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy. Small sample or trial size vial.",https://www.bestbottles.com/images/store/enlarged_pics/GB09BlackCapSht.gif,black short cap,clear glass,clear,"essential oil, fragrance, perfume","clear glass, clear, essential oil, fragrance, perfume, perfume vials and tubes with caps & droppers, 9ml",Perfume vials and tubes With Caps & Droppers,9 ml (0.3 oz),47 ±0.5 mm,,,,18-400,$0.38,,$0.36,8400pc @ $0.31,1,"Perfume Vials, Bottles, Roll on bottles and Decorative glass Bottles",Glass Bottles & Vials,https://www.bestbottles.com/product/Vial-design-9-ml-clear-glass-black-short-cap
