SKU,Bottle_URL,Fitment_URL,Cap_URL,Overcap_URL
GBCylAmb5RollMtlPinkDot,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlPinkDot/GBCylAmb5RollMtlPinkDot_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlPinkDot/GBCylAmb5RollMtlPinkDot_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlPinkDot/GBCylAmb5RollMtlPinkDot_overcap.png
GBCylAmb5RollMtlSlDot,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlSlDot/GBCylAmb5RollMtlSlDot_Bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlSlDot/GBCylAmb5RollMtlSlDot_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlSlDot/GBCylAmb5RollMtlSlDot_overcap.png
GBCylAmb5RollMtlSlMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlSlMt/GBCylAmb5RollMtlSlMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlSlMt/GBCylAmb5RollMtlSlMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollMtlSlMt/GBCylAmb5RollMtlSlMt_overcap.png
GBCylAmb5RollPinkDot,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollPinkDot/GBCylAmb5RollPinkDot_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollPinkDot/GBCylAmb5RollPinkDot_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollPinkDot/GBCylAmb5RollPinkDot_overcap.png
GBCylAmb5RollSlDot,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlDot/GBCylAmb5RollSlDot_Bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlDot/GBCylAmb5RollSlDot_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlDot/GBCylAmb5RollSlDot_overcap.png
GBCylAmb5RollSlMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlMt/GBCylAmb5RollSlMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlMt/GBCylAmb5RollSlMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlMt/GBCylAmb5RollSlMt_overcap.png
GBCylAmb5RollSlSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlSh/GBCylAmb5RollSlSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlSh/GBCylAmb5RollSlSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5RollSlSh/GBCylAmb5RollSlSh_overcap.png
GBCylAmb5SpryBlkMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBlkMt/GBCylAmb5SpryBlkMt_bottle_AmbrSwatch.png,,,
GBCylAmb5SpryBlkSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBlkSh/GBCylAmb5SpryBlkSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBlkSh/GBCylAmb5SpryBlkSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBlkSh/GBCylAmb5SpryBlkSh_overcap.png
GBCylAmb5SpryBluMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBluMt/GBCylAmb5SpryBluMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBluMt/GBCylAmb5SpryBluMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryBluMt/GBCylAmb5SpryBluMt_overcap.png
GBCylAmb5SpryGlMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryGlMt/GBCylAmb5SpryGlMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryGlMt/GBCylAmb5SpryGlMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryGlMt/GBCylAmb5SpryGlMt_overcap.png
GBCylAmb5SpryGlSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryGlSh/GBCylAmb5SpryGlSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SpryGlSh/GBCylAmb5SpryGlSh_fitment.png,,
GBCylAmb5SprySlMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SprySlMt/GBCylAmb5SprySlMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SprySlMt/GBCylAmb5SprySlMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SprySlMt/GBCylAmb5SprySlMt_overcap.png
GBCylAmb5SprySlSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SprySlSh/GBCylAmb5SprySlSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SprySlSh/GBCylAmb5SprySlSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5SprySlSh/GBCylAmb5SprySlSh_overcap.png
GBCylAmb5WhtSht,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5WhtSht/GBCylAmb5WhtSht_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/processed/GBCylAmb5WhtSht/GBCylAmb5WhtSht_fitment.png,,
