sku,description,image_url,included_component,item_type,capacity,height_total,height_bottle_only,width,depth,neck_finish,price_1pc,price_12pc,price_144pc,price_bulk,url
GBBell10SpryBlkSh,"Bell design 10ml Clear glass bottle with shiny black spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants.",https://www.bestbottles.com/images/store/caps/13-415SpShnGl.png,shiny black spray,Refillable Glass Bottles with Fine Mist Sprayers,10 ml (0.34 oz),74 ±1 mm,55 ±1 mm,,,13-415,0.90,0.86,0.81,3450pc: $0.70,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-shiny-black-spray
GBBell10SpryBlkSh,"Bell design 10ml Clear glass bottle with shiny black spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants.",https://www.bestbottles.com/images/store/caps/13-415SpShnGl.png,shiny black spray,Refillable Glass Bottles with Fine Mist Sprayers,10 ml (0.34 oz),74 ±1 mm,55 ±1 mm,,,13-415,0.90,0.86,0.81,3450pc: $0.70,https://www.bestbottles.com/product/bell-design-10-ml-glass-bottle-shiny-black-spray?video=true
GBAtom10Blk,"Black atomizer design 10 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10Blk.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,10 ml (0.34 oz),89 ±1 mm,82 ±1 mm,,,17mm,3.15,2.99,2.84,1500pc: $2.46,https://www.bestbottles.com/product/black-atomizer-design-10-ml-bottle
GBAtom10BlkDot,"Black atomizer design 10 ml bottle with dots. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10BlkDot.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,10 ml (0.34 oz),89 ±1 mm,82 ±1 mm,,,17mm,3.40,3.23,3.06,1500pc: $2.65,https://www.bestbottles.com/product/black-atomizer-design-10-ml-bottle-dots
GBAtom5Blk,"Matte Black atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Blk.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,5 ml (0.17 oz),81 ±1 mm,76 ±1 mm,,,13mm,2.80,2.66,2.52,3000pc: $2.18,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle
GBAtom5BlkDot,"Black atomizer design 5 ml bottle with dots. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5BlkDot.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,5 ml (0.17 oz),81 ±1 mm,76 ±1 mm,,,13mm,3.05,2.90,2.75,3000pc: $2.38,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle-dots
GBAtom5SlimBlk,"Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlimBlk.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,5 ml (0.17 oz),104 ±2 mm,92 ±1 mm,,,10mm,2.25,2.14,2.03,3000pc: $1.76,https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle
GBAtom10Blu,"Blue atomizer design 10 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10Blu.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,10 ml (0.34 oz),89 ±1 mm,82 ±1 mm,,,17mm,3.15,2.99,2.84,1500pc: $2.46,https://www.bestbottles.com/product/blue-atomizer-design-10-ml-bottle
GBAtom5Blu,"Blue atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion.",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Blu.gif,,Refillable Metal shell perfume atomizers and travel size purse atomizers,5 ml (0.17 oz),81 ±1 mm,76 ±1 mm,,,13mm,2.80,2.66,2.52,3000pc: $2.18,https://www.bestbottles.com/product/blue-atomizer-design-5-ml-bottle
GBCrclFrst100AnSpBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/caps/18-415SpAnSpBulbBlk.png,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.40,6.08,5.76,1050pc: $4.99,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
